
ChipSel Test        Kind  Pass Exit Log                                                                                
      1 PWM_inst    PWM   True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_add    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_andi   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_auipc  BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_beq    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_bge    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_bgeu   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_blt    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_bltu   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_bne    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_jal    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_jalr   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_lui    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_ori    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_simple BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_slli   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_slti   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_sltiu  BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_srai   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_srli   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 inst_xori   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 sID_inst    SID   True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 IF_inst     IF    True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 Temp        RT    True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      2 PWM_inst    PWM   True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_add    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_andi   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_auipc  BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_beq    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_bge    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_bgeu   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_blt    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_bltu   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_bne    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_jal    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_jalr   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_lui    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_ori    BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_simple BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_slli   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_slti   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_sltiu  BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_srai   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_srli   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 inst_xori   BASIC True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 sID_inst    SID   True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 IF_inst     IF    True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 Temp        RT    True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...
      3 PWM_inst    PWM   True    0 D:\liudk\project\tinyriscv_dk\tinyriscv\rtl_tomerge\rtl\merge_version\verificati...



